Cluster number,Nodes
66,Bnip1
67,Rapgef3
67,Ncf1
67,Cyba
67,Adcy8
67,Mapk12
68,Fgf12
68,Mapk8ip2
68,Scn5a
68,Scn1b
68,Mapk8
69,Me3
69,Got1
69,Idh3g
69,Csad
69,Pdha1
70,Cog4
70,B4galt1
70,Rab30
70,Gpr22
70,Cog5
71,Blm
71,Rpa2
71,Gen1
71,Pola2
71,Wdhd1
72,Kif20a
72,Tuba1a
72,Top2a
72,Top1mt
72,Polrmt
73,Sesn2
73,Prkar1a
73,Nprl2
73,Tbc1d1
73,Prkag1
74,Bcat2
74,Txnrd2
74,Idh3b
74,Bckdhb
74,Selenow
75,Nrip1
75,Ppargc1b
75,Rorb
75,Nr2c1
75,Slc7a1
76,Sparc
76,Fstl1
76,Runx2
76,Bmp7
76,Hey1
